Horses,1st,2nd,3rd,starts,win,place,roi
Sunset Watch,1,2,0,3,33.3,100.0,-6.67
The Closer,1,0,0,7,14.3,14.3,-28.57
Niccovi,1,1,0,5,20.0,40.0,-69.00
Badajoz,1,1,1,9,11.1,33.3,5.56
Dyslexic,1,1,1,7,14.3,42.9,-44.29
Reloaded,1,1,1,3,33.3,100.0,0.00
Hush Writer,1,1,1,6,16.7,50.0,250.00
Smartedge,1,2,1,8,12.5,50.0,-18.75
Graceful Storm,1,0,0,9,11.1,11.1,577.78
Most Important,1,1,0,4,25.0,50.0,375.00
Holbien,1,1,3,14,7.1,35.7,-83.21
Rio Del Mar,1,1,0,3,33.3,66.7,133.33
Chapel City,1,4,2,16,6.3,43.8,-6.25
Mockery,1,1,0,4,25.0,50.0,300.00
Spirit of Aquada,1,4,2,10,10.0,70.0,-58.00
Prometheus,1,0,0,9,11.1,11.1,88.89
Charlayne,1,2,0,9,11.1,33.3,66.67
Gloryland,1,3,1,7,14.3,71.4,-31.43
Top Striker,1,1,0,7,14.3,28.6,57.14
Think Bleue,1,1,0,6,16.7,33.3,-50.00
Agent Pippa,1,2,0,7,14.3,42.9,-14.29
Temple of Bel,1,0,1,9,11.1,22.2,-65.56
Pecans,1,0,0,8,12.5,12.5,-61.25
Pure Elation,1,0,0,1,100.0,100.0,450.00
Captain Punch,1,1,0,4,25.0,50.0,-5.00
Noble Joey,1,0,2,13,7.7,23.1,-23.08
Classic Pro,1,2,2,14,7.1,35.7,121.43
River Dance,1,3,0,8,12.5,50.0,-47.50
Dr Drill,1,2,0,4,25.0,75.0,-53.75
Lady Naturaliste,1,2,0,5,20.0,60.0,-50.00
Welsh Legend,1,3,2,11,9.1,54.5,-65.45
Champagne Jet,1,0,3,5,20.0,80.0,320.00
Movie Role,1,0,1,6,16.7,33.3,166.67
Miner's Miss,1,0,2,11,9.1,27.3,-54.55
Reflectivity,1,2,0,7,14.3,42.9,-51.43
Amercement,1,0,0,5,20.0,20.0,0.00
Lockroy,1,2,1,8,12.5,50.0,0.00
Trope,1,2,0,4,25.0,75.0,25.00
Life On the Wire,1,0,2,4,25.0,75.0,-12.50
I Like It Easy,1,0,0,4,25.0,25.0,175.00
Shadow Hero,1,1,0,3,33.3,66.7,20.00
Toryjoy,1,2,3,10,10.0,60.0,-71.00
El Campeador,1,4,0,11,9.1,45.5,90.91
Miss Toorak Flyer,1,3,1,6,16.7,83.3,83.33
Junipal,1,3,1,10,10.0,50.0,-86.50
Seductive Miss,1,1,0,8,12.5,25.0,62.50
Skyway Star,1,4,1,11,9.1,54.5,-84.09
Siren's Fury,1,0,0,8,12.5,12.5,0.00
Muraaqeb,1,0,2,7,14.3,42.9,-7.14
Observational,1,0,1,8,12.5,25.0,150.00
Golden Tycoon,1,0,1,5,20.0,40.0,50.00
Desert Lashes,1,2,0,5,20.0,60.0,-28.00
Casino Wizard,1,1,0,10,10.0,20.0,-52.00
Catesby,1,2,2,9,11.1,55.6,-38.89
Ragged Rascal,1,0,0,7,14.3,14.3,271.43
Split Lip,1,1,1,11,9.1,27.3,-61.82
Rock Magic,1,0,1,3,33.3,66.7,-18.33
Master Zephyr,1,1,1,17,5.9,17.6,-29.41
Valentino Rossa,1,2,2,12,8.3,41.7,-20.83
Diamond Tonique,1,1,0,6,16.7,33.3,-43.33
Our Crown Mistress,1,0,1,6,16.7,33.3,-8.33
Word for Word,1,4,1,6,16.7,100.0,-63.33
Natch,1,3,0,8,12.5,50.0,62.50
Marsupial,1,0,1,6,16.7,33.3,-8.33
Brook Magic,1,1,1,5,20.0,60.0,60.00
Con Te Partiro,1,0,0,2,50.0,50.0,800.00
Faatinah,1,0,0,5,20.0,20.0,40.00
Schubert,1,1,0,7,14.3,28.6,-42.86
Masculino,1,1,1,7,14.3,42.9,-51.43
Albumin,1,1,0,8,12.5,25.0,62.50
Shalmaneser,1,1,1,8,12.5,37.5,-12.50
Al Mah Haha,1,1,0,7,14.3,28.6,271.43
Cryptic Love,1,0,1,7,14.3,28.6,-42.86
Man of Peace,1,1,2,5,20.0,80.0,20.00
Sweet Rockette,1,1,0,4,25.0,50.0,375.00
Midnight Sky,1,4,0,9,11.1,55.6,-67.78
First Affair,1,0,3,9,11.1,44.4,0.00
Ready Set Sail,1,0,0,2,50.0,50.0,1200.00
Rock,1,3,0,5,20.0,80.0,-55.00
St Edward's Crown,1,2,0,4,25.0,75.0,112.50
Jedastar,1,1,0,3,33.3,66.7,333.33
Garibaldi,1,0,1,6,16.7,33.3,-53.33
Alfarris,1,0,0,4,25.0,25.0,-10.00
Lucifer's Reward,1,0,1,4,25.0,50.0,112.50
Almanzora,1,1,0,5,20.0,40.0,-42.00
Lite'n in My Veins,1,1,0,9,11.1,22.2,-16.67
Tulip,1,1,0,5,20.0,40.0,0.00
Inject the Venom,1,2,0,6,16.7,50.0,250.00
Mr Garcia,1,1,0,6,16.7,33.3,-48.33
Snitzkraft,1,0,1,7,14.3,28.6,-7.14
Shokora,1,0,1,11,9.1,18.2,-36.36
Tiffany's Lass,1,1,0,10,10.0,20.0,-40.00
New Tipperary,1,0,0,5,20.0,20.0,520.00
Blazing Miss,1,2,2,8,12.5,62.5,-65.00
Spending to Win,1,0,0,9,11.1,11.1,33.33
Magnufighter,1,2,1,8,12.5,50.0,0.00
Rubic Rose,1,2,0,6,16.7,50.0,-63.33
Charlie Royale,1,4,5,16,6.3,62.5,-46.88
Upward Others,1,3,2,13,7.7,46.2,-42.31
Malahat,1,1,0,5,20.0,40.0,70.00
Khezerabad,1,0,1,6,16.7,33.3,250.00
Guntantes,1,1,0,5,20.0,40.0,-66.00
Casiraghi,1,1,7,31,3.2,29.0,-61.29
Marocchino,1,0,2,4,25.0,75.0,62.50
Count da Vinci,1,2,0,6,16.7,50.0,-38.33
Mister Songman,1,1,1,3,33.3,100.0,-48.33
Crockett,1,1,1,8,12.5,37.5,162.50
Exceltic,1,1,2,11,9.1,36.4,-75.45
Firsthand,1,0,2,6,16.7,50.0,-40.00
Red Publisher,1,1,2,17,5.9,23.5,-23.53
Master Ash,1,0,0,4,25.0,25.0,125.00
Social Element,1,2,1,9,11.1,44.4,-65.56
Connemara,1,2,1,7,14.3,57.1,-44.29
Interlocuter,1,0,0,5,20.0,20.0,-22.00
Illustrious Lad,1,1,0,7,14.3,28.6,7.14
Trail of Glory,1,0,0,6,16.7,16.7,416.67
Onslaught,1,0,1,8,12.5,25.0,75.00
Chauffeur,1,0,1,6,16.7,33.3,216.67
Arctic Stream,1,5,3,12,8.3,75.0,-82.50
Vega,1,3,4,16,6.3,50.0,-68.75
Kool Vinnie,1,1,1,7,14.3,42.9,171.43
No Doubt,1,0,1,8,12.5,25.0,18.75
Daishio,1,3,1,9,11.1,55.6,-27.78
Nodoubtaboutit,1,3,2,13,7.7,46.2,-81.15
Gitan,1,1,0,8,12.5,25.0,-47.50
Akasaki,1,0,1,10,10.0,20.0,-35.00
Mrs Gardenia,1,1,0,6,16.7,33.3,0.00
Silent Explorer,1,2,2,13,7.7,38.5,-38.46
Usain Bowler,1,0,1,5,20.0,40.0,30.00
Victory Kingdom,1,2,1,5,20.0,80.0,-62.00
Cisco Bay,1,2,0,6,16.7,50.0,0.00
Creedence,1,3,1,9,11.1,55.6,-65.56
Thunderdome,1,3,3,11,9.1,63.6,-54.55
He Ekscels,1,2,1,9,11.1,44.4,-67.78
Bluebrook,1,0,3,5,20.0,80.0,-26.00
Carif,1,2,0,10,10.0,30.0,-20.00
Seeker,1,2,2,9,11.1,55.6,44.44
Our Bottino,1,1,1,10,10.0,30.0,60.00
Newsfan,1,1,0,3,33.3,66.7,-20.00
Silent Warrior,1,2,2,14,7.1,35.7,0.00
Problem Solver,1,0,1,8,12.5,25.0,-25.00
Wrinkly,1,1,0,8,12.5,25.0,25.00
Top Prospect,1,1,0,5,20.0,40.0,120.00
Piracy,1,2,2,8,12.5,62.5,-50.00
Bubaroochy,1,0,0,4,25.0,25.0,150.00
Mizlecki,1,0,1,8,12.5,25.0,-65.00
Soul Secrets,1,2,1,4,25.0,100.0,225.00
Noumea,1,0,4,12,8.3,41.7,-8.33
Insensata,1,0,0,12,8.3,8.3,-20.83
Pop Queen,1,0,4,7,14.3,71.4,342.86
Curata Princess,1,1,1,9,11.1,33.3,100.00
Laughing Heir,1,2,3,13,7.7,46.2,23.08
Spacegirl,1,0,0,3,33.3,33.3,433.33
Just Hifalutin,1,0,0,4,25.0,25.0,87.50
Big Caroline,1,2,2,10,10.0,50.0,0.00
Khulaasa,1,1,2,10,10.0,40.0,-35.00
Lucky For All,1,1,1,5,20.0,60.0,-54.00
Gee Gees Darl,1,4,1,7,14.3,85.7,28.57
The Executioner,1,1,0,4,25.0,50.0,-32.50
Adana,1,2,1,10,10.0,40.0,-68.00
The Avenger,1,1,2,11,9.1,36.4,-50.00
She's So High,1,0,0,1,100.0,100.0,130.00
Super Maxi,1,1,0,5,20.0,40.0,-36.00
Roselli Sting,1,4,4,18,5.6,50.0,-58.33
Highland Beat,1,3,0,10,10.0,40.0,-45.00
Infallybelle,1,3,0,8,12.5,50.0,-25.00
Mishani Electra,1,3,1,11,9.1,45.5,-45.45
Clearly,1,0,1,3,33.3,66.7,33.33
Queen Annabel,1,1,2,12,8.3,33.3,-50.00
Yeah Dardy,1,1,0,7,14.3,28.6,-7.14
Seberate,1,2,1,11,9.1,36.4,-50.00
War God,1,0,3,12,8.3,33.3,116.67
The Statesman,1,0,1,5,20.0,40.0,30.00
Mig Energy,1,0,1,5,20.0,40.0,220.00
Ronstar,1,2,0,7,14.3,42.9,-47.14
Prezado,1,1,2,10,10.0,40.0,-15.00
Ef Troop,1,2,0,6,16.7,50.0,-48.33
Za Zi Ba,1,1,1,7,14.3,42.9,-21.43
Lordhelpmerun,1,2,1,7,14.3,57.1,-67.86
Smart As You Think,1,0,1,10,10.0,20.0,40.00
Duke Of Magnus,1,2,1,10,10.0,40.0,-81.00
Sir Bacchus,1,0,1,7,14.3,28.6,-7.14
Princeton Spirit,1,0,2,7,14.3,42.9,-28.57
How to Fly,1,2,0,10,10.0,30.0,-77.00
Agente Fiscale,1,4,0,9,11.1,55.6,-44.44
Raay Of Dreams,1,1,3,5,20.0,100.0,70.00
Multifacets,1,1,0,2,50.0,100.0,120.00
Mawaany Machine,1,0,0,3,33.3,33.3,533.33
Curragh,1,1,3,9,11.1,55.6,-51.11
Miss Shanti,1,2,3,14,7.1,42.9,-76.43
Seasons,1,1,0,2,50.0,100.0,-10.00
Pravro,1,0,5,11,9.1,54.5,-9.09
High Church,1,0,0,4,25.0,25.0,225.00
Magic Beans,1,1,1,10,10.0,30.0,-5.00
Francisca,1,2,3,9,11.1,66.7,-44.44
Lord Greystoke,1,1,0,7,14.3,28.6,200.00
Reveille,1,3,1,12,8.3,41.7,-86.67
Summer's Skye,1,3,1,8,12.5,62.5,-66.25
Kellstorm,1,2,0,15,6.7,20.0,-69.33
Royal Rumble,1,3,3,14,7.1,50.0,-85.00
Unguarded,1,2,2,9,11.1,55.6,-16.67
Hanover Square,1,1,1,9,11.1,33.3,88.89
Blue Tycoon,1,1,2,10,10.0,40.0,-60.00
Quick Defence,1,1,0,7,14.3,28.6,21.43
Bangkok,1,1,1,9,11.1,33.3,-5.56
Ginny Ann,1,0,0,2,50.0,50.0,95.00
Beaucount,1,1,5,14,7.1,50.0,-64.29
Cincinnati Red,1,6,1,10,10.0,80.0,-72.00
Easy Beast,1,2,3,11,9.1,54.5,-36.36
Tahsin,1,2,2,11,9.1,45.5,0.00
Chalk,1,1,3,16,6.3,31.3,-62.50
Majinika,1,2,1,5,20.0,80.0,60.00
Invictus Salute,1,1,2,7,14.3,57.1,-62.86
Balboa Rocks,1,0,0,6,16.7,16.7,1416.67
You've Been Had,1,1,0,2,50.0,100.0,35.00
Malambo,1,0,0,7,14.3,14.3,42.86
Our Malambo,1,0,0,7,14.3,14.3,42.86
Irish Constabulary,1,1,0,4,25.0,50.0,375.00
I Am Capitan,1,3,2,7,14.3,85.7,-72.14
Syd's Coin,1,0,0,9,11.1,11.1,133.33
Go the Journey,1,2,3,12,8.3,50.0,-74.17
Geraldine's Jewel,1,0,0,3,33.3,33.3,1933.33
Steal My Kisses,1,0,0,3,33.3,33.3,216.67
Ellie's Encore,1,2,0,13,7.7,23.1,-61.54
Texas Storm,1,5,1,9,11.1,77.8,-11.11
Independent Road,1,1,0,2,50.0,100.0,200.00
Snitzepeg,1,2,1,7,14.3,57.1,-79.29
Hay Now,1,1,0,4,25.0,50.0,175.00
Mr Marathon Man,1,0,0,3,33.3,33.3,266.67
Tahitian Dancer,1,0,1,10,10.0,20.0,-58.00
Heaven's Deal,1,1,2,8,12.5,50.0,-45.00
Nuke,1,3,0,11,9.1,36.4,36.36
Loyalty Man,1,0,0,4,25.0,25.0,75.00
Sunday Pray,1,1,0,12,8.3,16.7,75.00
Sartorial Splendor,1,1,0,3,33.3,66.7,-46.67
Goldstream,1,0,1,9,11.1,22.2,133.33
Chatuchak,1,0,0,3,33.3,33.3,466.67
Shackleton,1,2,1,5,20.0,80.0,-48.00
Ice Girl,1,2,1,13,7.7,30.8,-66.15
La Bella Diosa,1,0,0,8,12.5,12.5,112.50
Beauty Way,1,0,1,3,33.3,66.7,20.00
Savigne,1,4,1,9,11.1,66.7,-61.11
Alart,1,1,0,13,7.7,15.4,15.38
Soul Star,1,3,1,8,12.5,62.5,-62.50
Button Pusher,1,1,2,10,10.0,40.0,-80.00
Pembroke Castle,1,1,2,12,8.3,33.3,-67.50
Bring the Magic,1,2,1,10,10.0,40.0,-54.00
Gold Ambition,1,3,1,12,8.3,41.7,-37.50
Festival Miss,1,3,1,5,20.0,100.0,-53.00
Really Discreet,1,0,1,3,33.3,66.7,533.33
Miss Invincible,1,3,1,9,11.1,55.6,-77.78
Don't Blush Baby,1,0,1,5,20.0,40.0,20.00
Tofane,1,2,0,4,25.0,75.0,-66.25
Pioneertown,1,0,1,3,33.3,66.7,166.67
Harper's Choice,1,0,0,6,16.7,16.7,-8.33
High Power,1,1,2,9,11.1,44.4,-44.44
Hiyaam,1,0,0,5,20.0,20.0,-28.00
Nelson's Flight,1,1,2,8,12.5,50.0,-12.50
Destiny's Own,1,1,5,9,11.1,77.8,-11.11
Kentucky Breeze,1,2,0,9,11.1,33.3,-27.78
Josephine Sea,1,3,2,10,10.0,60.0,-75.00
Mittere,1,0,0,4,25.0,25.0,925.00
Really Swish,1,2,1,10,10.0,40.0,-80.00
Supernova,1,1,0,3,33.3,66.7,-3.33
Plenty,1,3,2,9,11.1,66.7,-55.56
Bare Naked Lady,1,4,1,7,14.3,85.7,-50.00
Ayers Rock,1,1,5,18,5.6,38.9,-61.11
Devil's Temptation,1,0,0,2,50.0,50.0,325.00
Showcase,1,0,3,12,8.3,33.3,-50.00
Nangawooka,1,1,3,8,12.5,62.5,87.50
Mazurek,1,1,1,10,10.0,30.0,-61.00
We Just Love It,1,1,0,4,25.0,50.0,20.00
Equipped,1,0,2,12,8.3,25.0,-83.33
Father Knick,1,2,1,6,16.7,66.7,-20.00
Makdanife,1,2,3,15,6.7,40.0,-60.00
Truly Belong,1,4,2,13,7.7,53.8,-61.54
All Over Bosanova,1,0,2,6,16.7,50.0,-16.67
Awake the Stars,1,1,1,6,16.7,50.0,-55.00
Azurite,1,1,3,17,5.9,29.4,-88.53
Mad Brad,1,0,4,9,11.1,55.6,33.33
Pinzu,1,0,0,8,12.5,12.5,-18.75
Shesees Everything,1,1,0,3,33.3,66.7,6.67
Irresistable Girl,1,2,0,6,16.7,50.0,-55.00
Altair,1,2,2,9,11.1,55.6,-51.11
Shaq,1,3,3,10,10.0,70.0,-73.00
Mr Motown,1,0,0,6,16.7,16.7,1416.67
Hearty Lass,1,0,0,2,50.0,50.0,120.00
Pressway,1,1,0,9,11.1,22.2,66.67
Allcash,1,2,3,14,7.1,42.9,-81.43
Brazen,1,0,0,7,14.3,14.3,1057.14
Rosie Posie,1,4,0,13,7.7,38.5,-46.15
Captain Rhett,1,2,1,12,8.3,33.3,-74.17
Grimoire,1,2,2,8,12.5,62.5,-63.75
Amelia's On Fire,1,0,0,3,33.3,33.3,-53.33
Distant Trilogy,1,4,1,11,9.1,54.5,90.91
Solar Coaster,1,2,3,11,9.1,54.5,-45.45
Toosbuy,1,1,2,14,7.1,28.6,-42.86
Jaminzah,1,1,0,7,14.3,28.6,128.57
Des Moines,1,1,1,4,25.0,75.0,-61.25
Lucky Roar,1,1,0,9,11.1,22.2,133.33
La Falaise,1,1,0,2,50.0,100.0,85.00
Foxy Housewife,1,0,2,9,11.1,33.3,-61.11
Eclair Calling,1,1,1,5,20.0,60.0,20.00
House Of Cartier,1,0,1,4,25.0,50.0,-27.50
Chief Kidder,1,3,3,19,5.3,36.8,-85.79
Beacon,1,0,5,10,10.0,60.0,-79.00
Queen's Authority,1,3,1,9,11.1,55.6,-55.56
Pizonie,1,4,1,8,12.5,75.0,-83.75
Endless Days,1,0,1,10,10.0,20.0,-15.00
Sir Harald,1,3,3,11,9.1,63.6,-31.82
Magnicity,1,0,0,7,14.3,14.3,-14.29
Luca Bratzi,1,2,0,6,16.7,50.0,-16.67
Hautclere,1,6,0,12,8.3,58.3,-81.25
Great Duchess,1,4,1,10,10.0,60.0,-66.00
Greyworm,1,2,0,3,33.3,100.0,-50.00
Leami Astray,1,3,4,12,8.3,66.7,-80.00
Kaapfever,1,2,4,14,7.1,50.0,-60.71
Catwalk,1,1,0,2,50.0,100.0,250.00
Merovee,1,1,0,6,16.7,33.3,33.33
Lope for Joya,1,1,1,5,20.0,60.0,40.00
Excellent Rhythm,1,0,0,3,33.3,33.3,500.00
Send My Love,1,5,1,11,9.1,63.6,-68.18
Fui San,1,0,2,10,10.0,30.0,-35.00
Disruptor,1,2,0,5,20.0,60.0,-36.00
Gold Mag,1,3,1,7,14.3,71.4,-48.57
Zidane,1,2,0,5,20.0,60.0,720.00
Costas,1,1,4,9,11.1,66.7,-73.33
Creative Harmony,1,5,2,12,8.3,66.7,-85.83
Arancini,1,1,2,9,11.1,44.4,66.67
Blinkin Artie,1,5,1,8,12.5,87.5,-25.00
All Cylinders,1,1,0,4,25.0,50.0,15.00
Southern Swing,1,0,1,8,12.5,25.0,50.00
Andaz,1,2,2,12,8.3,41.7,-75.83
Pissaro,1,2,0,13,7.7,23.1,-50.00
King Lear,1,1,0,6,16.7,33.3,-35.00
Miracle Man,1,1,2,9,11.1,44.4,77.78
Give Me a Dollar,1,0,0,2,50.0,50.0,250.00
Pentomatic,1,1,2,15,6.7,26.7,306.67
Watchdog,1,3,3,9,11.1,77.8,-73.33
Green Ivy,1,2,1,9,11.1,44.4,-86.44
Snoopy,1,1,0,5,20.0,40.0,-34.00
Fox Hall,1,1,0,8,12.5,25.0,-18.75
See Me Fly,1,1,2,10,10.0,40.0,-35.00
Velocita,1,1,0,7,14.3,28.6,-37.14
Tumbler,1,1,0,4,25.0,50.0,-25.00
Gala Miss,1,0,0,4,25.0,25.0,-32.50
Taxi,1,2,1,10,10.0,40.0,-54.00
Ori On Fire,1,1,1,8,12.5,37.5,-37.50
Budd Fox,1,1,1,7,14.3,42.9,-37.14
Red Army,1,1,0,7,14.3,28.6,-81.43
Holy Command,1,4,0,11,9.1,45.5,-84.55
California Zimbol,1,1,0,3,33.3,66.7,30.00
Bellaria,1,0,1,5,20.0,40.0,100.00
Red Stina,1,2,0,6,16.7,50.0,-46.67
I Feel Good,1,1,0,6,16.7,33.3,1083.33
Wayanka,1,2,3,13,7.7,46.2,-69.23
Northern River,1,3,4,12,8.3,66.7,8.33
Valree,1,1,3,8,12.5,62.5,-37.50
Cappamore,1,6,2,11,9.1,81.8,-87.27
Beauty Kanas,1,3,2,10,10.0,60.0,-45.00
Sweet Jazz,1,2,0,3,33.3,100.0,-6.67
Plateau Gold,1,1,2,8,12.5,50.0,62.50
Dalmatia Prince,1,0,0,9,11.1,11.1,88.89
No Interest,1,0,0,11,9.1,9.1,9.09
Palmateer,1,1,4,10,10.0,60.0,-79.00
Murphy's Delight,1,3,0,11,9.1,36.4,-72.73
William Thomas,1,0,1,4,25.0,50.0,-10.00
McGarrett,1,2,2,7,14.3,71.4,-48.57
Chess Star,1,0,0,3,33.3,33.3,216.67
Stageman,1,0,3,6,16.7,66.7,-56.67
Aeecee Tong De,1,1,2,12,8.3,33.3,-58.33
Savaheat,1,1,1,12,8.3,25.0,-20.83
Weekend Affair,1,2,1,12,8.3,33.3,0.00
Debellatio,1,0,1,14,7.1,14.3,-57.14
Exalted Craftsman,1,0,4,11,9.1,45.5,-9.09
El Vincitore,1,2,0,5,20.0,60.0,-12.00
The Patrician,1,4,2,15,6.7,46.7,-69.33
Talented,1,1,1,3,33.3,100.0,766.67
Stone Cold,1,5,2,16,6.3,50.0,-40.63
Prince Mayted,1,0,2,13,7.7,23.1,7.69
Divine Unicorn,1,0,0,4,25.0,25.0,20.00
Sacred Theme,1,2,2,11,9.1,45.5,-36.36
Avachat,1,3,3,15,6.7,46.7,-82.00
Me Cabo,1,3,1,10,10.0,50.0,-75.00
Stampede,1,0,0,1,100.0,100.0,750.00
Arrow Lane,1,3,2,11,9.1,54.5,-45.45
Kirov Boy,1,1,0,5,20.0,40.0,320.00
Roosevelt,1,1,0,6,16.7,33.3,-55.00
Guipure,1,1,2,10,10.0,40.0,-64.00
One for Later,1,2,1,13,7.7,30.8,138.46
A Knight of Pro,1,1,0,5,20.0,40.0,120.00
Super Haze,1,5,0,9,11.1,66.7,-80.00
Simply Optimistic,1,0,0,1,100.0,100.0,900.00
Helmaz,1,3,1,8,12.5,62.5,-56.25
Segenhoe,1,0,1,4,25.0,50.0,375.00
Morvada,1,3,1,7,14.3,71.4,-72.86
Satori,1,2,3,8,12.5,75.0,-37.50
Malahide,1,1,0,7,14.3,28.6,-62.86
Metamorphic,1,2,1,7,14.3,57.1,-67.14
Patapus,1,2,3,12,8.3,50.0,-25.00
Viking Warrior,1,1,0,2,50.0,100.0,100.00
Good Therapy,1,3,0,10,10.0,40.0,-56.00
Switched,1,1,1,3,33.3,100.0,233.33
Friar Fox,1,1,0,6,16.7,33.3,-46.67
Carocapo,1,1,2,6,16.7,66.7,-58.33
Seababe,1,2,2,11,9.1,45.5,-63.64
High Ratio,1,1,1,7,14.3,42.9,-65.00
Thousand Wishes,1,1,2,7,14.3,57.1,-31.43
Leiter,1,1,1,3,33.3,100.0,83.33
Disruptive,1,1,0,4,25.0,50.0,62.50
Chapelco,1,2,0,9,11.1,33.3,-22.22
Dreamed,1,1,0,5,20.0,40.0,200.00
Class Of Royalty,1,1,2,7,14.3,57.1,14.29
Front View,1,4,3,10,10.0,80.0,-45.00
Capital Gain,1,0,1,6,16.7,33.3,-20.00
Blackline,1,0,2,8,12.5,37.5,-6.25
Meteorologist,1,3,0,17,5.9,23.5,-76.47
Maozi,1,1,2,5,20.0,80.0,10.00
Plutocracy,1,0,3,8,12.5,50.0,-18.75
Whodunnit,1,2,4,19,5.3,36.8,-47.37
Boomstress,1,2,0,6,16.7,50.0,-62.50
Fancy Rumble,1,1,1,9,11.1,33.3,-51.11
Polished Diamond,1,2,0,6,16.7,50.0,-46.67
Brother in Arms,1,1,2,10,10.0,40.0,-50.00
Snipfit,1,2,1,8,12.5,50.0,37.50
One More Daisy,1,2,2,12,8.3,41.7,-54.17
Count Tomoz Off,1,0,0,8,12.5,12.5,-55.00
The Card Players,1,1,2,10,10.0,40.0,-30.00
Diamond Account,1,3,4,10,10.0,80.0,-80.50
Caribbean Pearl,1,1,1,12,8.3,25.0,-33.33
Teodora,1,2,1,5,20.0,80.0,-30.00
Merriest,1,0,0,2,50.0,50.0,140.00
Dunatun,1,3,1,12,8.3,41.7,0.00
Cassy's Sister,1,1,0,4,25.0,50.0,37.50
Absolute Heaven,1,0,1,9,11.1,22.2,-16.67
Speeding Comet,1,1,2,11,9.1,36.4,9.09
Zatacla,1,2,2,12,8.3,41.7,-88.75
Bellomo,1,3,1,12,8.3,41.7,-70.83
Dal Cielo,1,0,1,3,33.3,66.7,-41.67
Ours to Keep,1,1,0,7,14.3,28.6,85.71
Impurity,1,5,1,10,10.0,70.0,-67.00
Blue Seattle,1,0,2,3,33.3,100.0,66.67
Santiago Gal,1,1,1,5,20.0,60.0,-26.00
Jen Rules,1,2,1,9,11.1,44.4,-82.78
Helga,1,1,1,6,16.7,50.0,83.33
Hallside Fandango,1,2,0,8,12.5,37.5,-42.50
Red Dubawi,1,2,1,11,9.1,36.4,-40.91
Savvan,1,1,2,4,25.0,100.0,20.00
Lady Elizabeth,1,3,1,7,14.3,71.4,0.00
Mr Gustavo,1,1,1,10,10.0,30.0,-10.00
Shandy,1,1,1,5,20.0,60.0,-53.00
Snippetspeed,1,0,2,8,12.5,37.5,-55.00
Zouologist,1,0,3,6,16.7,66.7,-66.67
Evolo,1,0,0,6,16.7,16.7,8.33
Divanation,1,1,2,4,25.0,100.0,-46.25
Gauguin,1,1,1,9,11.1,33.3,-44.44
Lady Of Shalott,1,0,3,8,12.5,50.0,-56.25
Farooq,1,1,0,6,16.7,33.3,-68.33
Major Wager,1,0,1,7,14.3,28.6,128.57
My Giuliano,1,0,0,6,16.7,16.7,33.33
Starbuster,1,4,1,9,11.1,66.7,-68.89
John Booke,1,3,2,13,7.7,46.2,-84.62
Cardiff,1,0,0,5,20.0,20.0,-30.00
Taillevent,1,2,1,11,9.1,36.4,-71.82
Rexx,1,1,3,9,11.1,55.6,-83.33
Vigere,1,5,1,12,8.3,58.3,-70.83
Speed 'n' Reef,1,1,3,14,7.1,35.7,42.86
All From Scrap,1,1,0,6,16.7,33.3,133.33
Mayan,1,1,0,2,50.0,100.0,20.00
Deserved,1,1,0,2,50.0,100.0,75.00
Zabalan,1,3,0,6,16.7,66.7,333.33
Coronel,1,3,0,7,14.3,57.1,-67.14
Thor's Thunder,1,4,1,12,8.3,50.0,-65.00
Just Favulous,1,5,4,11,9.1,90.9,-58.18
Calibration,1,1,2,8,12.5,50.0,-47.50
Think It Over,1,2,1,6,16.7,66.7,-36.67
Intrepidacious,1,0,1,4,25.0,50.0,-10.00
Metro Tramp,1,2,1,6,16.7,66.7,-23.33
Witches,1,0,0,5,20.0,20.0,-42.00
El Of A Saga,1,3,1,7,14.3,71.4,-78.57
Mushaireb,1,1,1,5,20.0,60.0,120.00
Part Time Lover,1,2,0,9,11.1,33.3,-75.00
Braces,1,1,0,10,10.0,20.0,80.00
Havana Haymaker,1,1,2,8,12.5,50.0,-52.50
Terwilliker,1,2,0,9,11.1,33.3,-70.00
Mossbelle,1,3,1,10,10.0,50.0,-79.00
Written On Rock,1,3,3,19,5.3,36.8,-52.63
Laughing or Crying,1,3,2,7,14.3,85.7,-75.00
Let's Go Bobby,1,2,3,9,11.1,66.7,-48.89
Bubbles'n'troubles,1,2,1,9,11.1,44.4,-82.78
Leviathan,1,1,0,2,50.0,100.0,700.00
Gunnaza,1,4,3,14,7.1,57.1,-39.29
Press the Petal,1,1,4,14,7.1,42.9,-71.43
Pierro Belle,1,2,1,10,10.0,40.0,-72.00
Embezzlement,1,1,0,6,16.7,33.3,50.00
Devils Marbles,1,1,3,5,20.0,100.0,20.00
Galway Girl,1,3,1,7,14.3,71.4,-64.29
Rapidora,1,3,0,6,16.7,66.7,-30.00
Our Gravano,1,0,1,9,11.1,22.2,-46.67
Dashing Special,1,2,2,11,9.1,45.5,-73.64
Gem Dealer,1,1,2,9,11.1,44.4,22.22
Potent Force,1,2,0,8,12.5,37.5,-77.50
Two Odd Sox,1,4,5,13,7.7,76.9,-46.15
Vellaspride,1,4,0,8,12.5,62.5,-50.00
Arnwood,1,2,1,7,14.3,57.1,-67.86
Collectively,1,2,1,11,9.1,36.4,-60.00
